Date,Q_DET_SWG,Q_DET_GEN,Q_DET_LRO,Q_DET_URO,DET_QTot,Q_BCL_GEN,Q_BCL_SWG,BCL_QTot,DET_TDG,BCL1_TDG,BCL2_TDG,BCLO_TDG
2024-03-27T20:00:00-0700,0,4910.00000011583,0,0,4910.00000011583,1840.00000002543,0,1840.00000002543,103.529087400055,101.510989010989,101.510989010989,101.236263736264
2024-03-27T21:00:00-0700,0,4889.99999982767,0,0,4889.99999982767,1850.00000016951,0,1850.00000016951,103.253377446926,101.510989010989,101.510989010989,101.098901098901
2024-03-27T22:00:00-0700,0,4699.99999991525,0,0,4699.99999991525,1859.99999996045,0,1859.99999996045,103.115522470361,101.510989010989,101.510989010989,101.098901098901
2024-03-27T23:00:00-0700,0,250.000000070629,0,0,250.000000070629,1870.00000010453,0,1870.00000010453,103.119823302043,101.788170563961,101.650618982118,101.237964236589
2024-03-28T00:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,103.119823302043,101.788170563961,101.788170563961,101.237964236589
2024-03-28T01:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,103.395913859746,101.788170563961,101.788170563961,101.237964236589
2024-03-28T02:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,103.8100496963,101.788170563961,101.788170563961,101.237964236589
2024-03-28T03:00:00-0700,0,0,0,0,0,1850.00000016951,0,1850.00000016951,104.224185532855,101.788170563961,101.788170563961,101.237964236589
2024-03-28T04:00:00-0700,0,0,0,0,0,1840.00000002543,0,1840.00000002543,104.368260989771,101.928374655647,101.928374655647,101.515151515151
2024-03-28T05:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,104.368260989771,101.928374655647,101.928374655647,101.515151515151
2024-03-28T06:00:00-0700,0,250.000000070629,0,0,250.000000070629,1829.99999988134,0,1829.99999988134,104.086140254003,101.925722145805,101.788170563961,101.375515818432
2024-03-28T07:00:00-0700,0,4749.99999992937,0,0,4749.99999992937,1829.99999988134,0,1829.99999988134,103.257868580895,101.925722145805,101.788170563961,101.375515818432
2024-03-28T08:00:00-0700,0,4840.00000016669,0,0,4840.00000016669,1829.99999988134,0,1829.99999988134,102.981778023192,101.925722145805,101.925722145805,101.375515818432
2024-03-28T09:00:00-0700,0,4740.00000013843,0,0,4740.00000013843,1850.00000016951,0,1850.00000016951,102.84373274434,102.063273727648,102.063273727648,101.513067400275
2024-03-28T10:00:00-0700,0,2439.99999984179,0,0,2439.99999984179,1850.00000016951,0,1850.00000016951,103.119823302043,102.063273727648,102.200825309491,101.513067400275
2024-03-28T11:00:00-0700,0,119.999999963273,0,0,119.999999963273,1859.99999996045,0,1859.99999996045,103.119823302043,102.200825309491,102.338376891334,101.650618982118
2024-03-28T12:00:00-0700,0,0,0,0,0,1840.00000002543,0,1840.00000002543,103.119823302043,102.338376891334,102.475928473177,101.788170563961
2024-03-28T13:00:00-0700,0,0,0,0,0,1829.99999988134,0,1829.99999988134,103.533959138597,102.338376891334,102.475928473177,101.925722145805
2024-03-28T14:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,104.086140254003,102.338376891334,102.613480055021,102.063273727648
2024-03-28T15:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,104.638321369409,102.338376891334,102.613480055021,102.063273727648
2024-03-28T16:00:00-0700,0,0,0,0,0,1809.99999994632,0,1809.99999994632,104.631927212572,102.197802197802,102.335164835165,101.923076923077
2024-03-28T17:00:00-0700,0,0,0,0,0,1800.00000015538,0,1800.00000015538,104.769782189137,102.197802197802,102.197802197802,101.923076923077
2024-03-28T18:00:00-0700,0,280.000000149734,0,0,280.000000149734,1829.99999988134,0,1829.99999988134,104.769782189137,102.197802197802,102.197802197802,101.923076923077
2024-03-28T19:00:00-0700,0,4740.00000013843,0,0,4740.00000013843,1829.99999988134,0,1829.99999988134,103.39123242349,102.06043956044,102.06043956044,101.785714285714
2024-03-28T20:00:00-0700,0,4840.00000016669,0,0,4840.00000016669,1829.99999988134,0,1829.99999988134,102.839812517232,102.197802197802,102.06043956044,101.785714285714
2024-03-28T21:00:00-0700,0,4849.99999995762,0,0,4849.99999995762,1840.00000002543,0,1840.00000002543,102.560572687225,101.920438957476,101.920438957476,101.508916323731
2024-03-28T22:00:00-0700,0,4620.00000017516,0,0,4620.00000017516,1850.00000016951,0,1850.00000016951,102.422907488987,101.920438957476,101.920438957476,101.508916323731
2024-03-28T23:00:00-0700,0,189.99999991242,0,0,189.99999991242,1870.00000010453,0,1870.00000010453,102.422907488987,101.920438957476,101.920438957476,101.508916323731
